Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
10/13/2017,Completed,10/13/2017,17-06886886,Graffiti Removal,Wood - Unpainted,Pole,933 W DIVERSEY PKWY,60614,1169452.19998166,1918785.69989337,43,19,7,17,41.93254842017704,-87.65269758731947,"(41.93254842017704, -87.65269758731947)"
10/13/2017,Completed,10/13/2017,17-06886946,Graffiti Removal,Metal - Painted,Front,933 W DIVERSEY PKWY,60614,1169452.19998166,1918785.69989337,43,19,7,17,41.93254842017704,-87.65269758731947,"(41.93254842017704, -87.65269758731947)"
10/13/2017,Completed,10/13/2017,17-06887134,Graffiti Removal,Wood - Painted,Door,1035 W ADDISON ST,60613,1168752.19472198,1924090.23142933,44,19,6,17,41.94711168309266,-87.65577471320871,"(41.94711168309266, -87.65577471320871)"
10/13/2017,Completed,10/13/2017,17-06887231,Graffiti Removal,Metal - Painted,Pole,7645 N SHERIDAN RD,60626,1165479.29972355,1950727.06071933,49,24,1,,42.02044530444908,-87.66624448319838,"(42.02044530444908, -87.66624448319838)"
10/13/2017,Completed,10/13/2017,17-06887301,Graffiti Removal,Metal - Painted,Front,1569 W HOWARD ST,60626,1164443.00009464,1950345.98771659,49,24,1,19,42.01926260052684,-87.67092231426751,"(42.01926260052684, -87.67092231426751)"
10/13/2017,Completed,10/13/2017,17-06887470,Graffiti Removal,Glass,Front,1546 W MONROE ST,60607,1166119.43551519,1899639.28440481,28,12,28,,41.880286208572514,-87.66626118822768,"(41.880286208572514, -87.66626118822768)"
10/13/2017,Completed,10/13/2017,17-06887486,Graffiti Removal,Glass,Front,340 N MICHIGAN AVE,60601,1177249.08601566,1902470.11040775,42,1,32,,41.887705769119705,-87.62470385802463,"(41.887705769119705, -87.62470385802463)"
10/13/2017,Completed,10/13/2017,17-06887574,Graffiti Removal,Metal - Unpainted,Garage,3744 W MCLEAN AVE,60647,1151084.53796795,1913361.31509137,26,25,22,,41.91825480132983,-87.72104268471345,"(41.91825480132983, -87.72104268471345)"
10/13/2017,Completed,10/13/2017,17-06887718,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,100 W WACKER DR,60601,1175489.96036908,1902170.49233277,42,1,32,,41.88704176905982,-87.63107821272457,"(41.88704176905982, -87.63107821272457)"
10/13/2017,Completed,10/13/2017,17-06887733,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Front,420 S WACKER DR,60607,1173992.0989656,1898302.18859566,25,1,32,,41.876270421848986,-87.63686874071686,"(41.876270421848986, -87.63686874071686)"
10/13/2017,Completed,10/13/2017,17-06888097,Graffiti Removal,Metal - Unpainted,Garage,3746 W MCLEAN AVE,60647,1151071.13796795,1913361.01509137,26,25,22,,41.91825372536718,-87.72111860267361,"(41.91825372536718, -87.72111860267361)"
10/13/2017,Completed,10/13/2017,17-06888131,Graffiti Removal,Brick - Unpainted,Side,2415 W FLOURNOY ST,60612,1160395.10861932,1896972.42831177,28,11,28,,41.87286185173896,-87.68685645114299,"(41.87286185173896, -87.68685645114299)"
10/13/2017,Completed,10/13/2017,17-06888138,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Side,3810 W 26TH ST,60623,1151356.06512203,1886453.9861047,22,10,30,25,41.84442016561475,-87.72019504157369,"(41.84442016561475, -87.72019504157369)"
10/13/2017,Completed,10/13/2017,17-06888157,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Side,3320 W FULLERTON AVE,60647,1153599.91991475,1915755.22463186,35,14,22,,41.9247774193223,-87.71169353548046,"(41.9247774193223, -87.71169353548046)"
10/13/2017,Completed,10/13/2017,17-06888192,Graffiti Removal,Metal - Unpainted,Fence,6118 W BELMONT AVE,60634,1135046.98019143,1920634.02852277,30,16,17,,41.93851538715512,-87.77944655868538,"(41.93851538715512, -87.77944655868538)"
10/13/2017,Completed,10/13/2017,17-06888213,Graffiti Removal,Brick - Unpainted,Front,2640 W 26TH ST,60608,1159051.35990218,1886665.12387204,24,10,30,,41.84484589801661,-87.69184965669713,"(41.84484589801661, -87.69184965669713)"
10/13/2017,Completed,10/13/2017,17-06888219,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Side,1620 S LAFLIN ST,60608,1166637.23250835,1892089.87679164,25,12,31,,41.85897234135588,-87.66393458122235,"(41.85897234135588, -87.66393458122235)"
10/13/2017,Completed,10/13/2017,17-06888224,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Garage,6101 W MELROSE ST,60634,1135148.72843185,1920971.05316652,30,16,17,,41.93922249850463,-87.77879836444515,"(41.93922249850463, -87.77879836444515)"
10/13/2017,Completed,10/13/2017,17-06888238,Graffiti Removal,Metal - Unpainted,Traffic Control Box,2001 N MILWAUKEE AVE,60647,1159716.14390325,1913215.91929141,1,14,22,33,41.917666944262606,-87.68853418258027,"(41.917666944262606, -87.68853418258027)"
10/13/2017,Completed,10/13/2017,17-06888265,Graffiti Removal,"Cement (Sidewalk, Alley, Wall, Curb)",Side,1600 S LAFLIN ST,60608,1166635.43250835,1892156.47679164,25,12,31,,41.85959869767849,-87.66395288488546,"(41.85959869767849, -87.66395288488546)"
